Designator,Mid X,Mid Y,Rotation,Layer
D1,162.56,-71.12,90.0,top
Q1,137.16,-60.96,90.0,top
Q2,137.16,-71.12,90.0,top
Q3,147.32,-60.96,90.0,top
R1,123.19,-60.96,0.0,top
R2,123.19,-71.12,0.0,top
R3,132.08,-57.15,90.0,top
R4,153.67,-60.96,0.0,top
SW1,113.59,-64.21,90.0,top
SW2,113.59,-73.95,90.0,top
